goods_id,highest_price,total_count
33868,356,137
33870,295,101
34586,171,30
35228,38.7,29
35300,203,14
35878,132,5
35894,451,11
36359,27.5,17
38157,976,47
38159,736,16
38676,68,5
38678,17.4,12
38834,112,9
38836,55,6
38881,606,8
39090,41.2,26
39117,36,23
39385,45,4
39444,62,6
39799,18,4
39918,11.6,10
39943,4.4,14
42349,2180,36
42351,3580,6
42353,2540,10
42391,3200,21
42395,857,8
42530,5380,97
42682,741,34
42965,4810,12
43052,2250,26
43265,2140,7
43294,3280,5
43389,5320,8
43443,688,6
43497,777,10
43774,2300,4
44002,570,30
45654,1400,2
755696,34.6,50
755701,391,89
759200,24.7,67
759281,75,11
759509,770,82
759672,785,16
762185,52,7
763243,225,124
763420,562,19
773529,12.1,26
773668,97,25
773706,40.8,9
773757,68,20
773780,303,7
773797,115,3
775988,4850,22
776879,4810,5
779226,10.4,25
779322,38.8,7
779263,80,19
779328,260,5
779333,351,23
781660,860,96
781671,566,104
781677,1050,10
781718,1950,20
835330,77,16
835348,30,228
835382,37,77
835470,21,472
835504,28.4,146
835595,32.1,18
835610,58,138
835741,11.9,43
835822,123,19
835837,380,1
